,fighter,current_lose_streak,current_win_streak,avg_head_landed,avg_KD,avg_sig_str_landed,avg_td_landed,avg_total_str_landed,longest_winning_streak,losses,total_title_bouts,win_by_ko/tko,wins,stance,height_cms,reach_cms,weight_lbs,age,total_fights
3226,Josh Barnett,1,0,23.11111111,0.111111111,37.66666667,0.444444444,59.0,4,3,1,4,6,Orthodox,190.5,198.12,250.0,38.0,9
3227,Jim Miller,0,1,16.04347826,0.130434783,26.04347826,1.173913043,40.04347826,7,8,0,3,15,Southpaw,172.72,180.34,155.0,32.0,23
3230,Conor McGregor,1,0,26.0,0.75,34.625,0.625,43.625,7,1,2,6,7,Southpaw,175.26,187.96,155.0,28.0,8
3231,Donald Cerrone,0,2,19.57142857,0.523809524,42.904761900000004,0.761904762,50.04761905,8,4,1,6,17,Orthodox,185.42,185.42,155.0,33.0,21
3233,Lorenz Larkin,0,1,19.77777778,0.222222222,39.88888889,0.111111111,46.55555556,2,5,0,2,4,Orthodox,180.34,182.88,170.0,29.0,9
3235,Tyron Woodley,0,2,12.0,0.7142857140000001,25.28571429,0.428571429,39.71428571,2,2,0,4,5,Orthodox,175.26,187.96,170.0,34.0,7
3237,Jake Ellenberger,2,0,16.1875,0.5625,21.9375,1.375,33.125,6,7,0,4,9,Orthodox,175.26,180.34,170.0,31.0,16
3238,Erik Perez,0,1,14.85714286,0.428571429,27.85714286,2.0,59.42857143,3,2,0,2,5,Orthodox,172.72,172.72,135.0,26.0,7
3239,Jorge Masvidal,2,0,32.6,0.2,52.1,1.4,85.0,3,4,0,1,6,Orthodox,180.34,187.96,170.0,31.0,10
3242,Eddie Wineland,2,0,30.625,0.375,38.625,0.25,41.875,2,5,1,2,3,Orthodox,170.18,175.26,135.0,32.0,8
3244,John Lineker,0,4,32.4,0.8,56.8,0.5,67.0,4,2,0,4,8,Orthodox,160.02,170.18,135.0,26.0,10
3245,Daniel Omielanczuk,0,2,17.4,0.4,37.4,0.6,56.8,2,2,0,2,3,Southpaw,182.88,187.96,247.0,33.0,5
3246,Keita Nakamura,1,0,27.2,0.4,30.2,1.8,58.2,1,4,0,0,1,Southpaw,180.34,185.42,170.0,32.0,5
3247,Sam Alvey,2,0,16.0,0.333333333,21.33333333,0.0,24.66666667,3,3,0,3,3,Southpaw,187.96,190.5,205.0,30.0,6
3249,Amanda Nunes,0,3,15.83333333,0.333333333,21.16666667,1.0,32.33333333,3,1,0,3,5,Orthodox,172.72,175.26,145.0,28.0,6
3250,Kelvin Gastelum,1,0,26.125,0.375,41.5,1.125,66.875,5,2,1,1,6,Southpaw,175.26,180.34,185.0,24.0,8
3251,Joe Lauzon,1,0,17.25,0.1,19.45,1.2,27.55,3,8,0,3,12,Orthodox,177.8,180.34,155.0,32.0,20
3252,Kevin Lee,0,1,30.42857143,0.0,43.85714286,2.142857143,64.71428571,4,2,0,0,5,Orthodox,175.26,195.58,170.0,23.0,7
3254,Derrick Lewis,0,3,17.875,0.125,20.0,0.375,23.625,3,2,0,6,6,Orthodox,190.5,200.66,260.0,31.0,8
3257,Stephen Thompson,0,6,26.75,1.0,40.375,0.625,47.875,6,1,0,5,7,Orthodox,182.88,190.5,170.0,33.0,8
3259,Krzysztof Jotko,0,3,21.0,0.0,40.6,1.2,91.6,3,1,0,0,4,Southpaw,185.42,195.58,185.0,26.0,5
3261,Michael Bisping,0,3,40.12,0.24,55.72,1.04,69.12,4,7,1,9,18,Orthodox,185.42,190.5,185.0,37.0,25
3262,Jessica Andrade,1,0,43.28571429,0.14285714300000002,56.85714286,1.857142857,84.0,3,3,0,0,4,Orthodox,154.94,157.48,115.0,24.0,7
3263,Alex Caceres,0,1,26.30769231,0.076923077,42.46153846,0.23076923100000002,55.0,2,7,0,0,6,Southpaw,177.8,185.42,145.0,27.0,13
